id,project_code,po_/_so_#,asn/dn_#,country,managed_by,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor,unit_of_measure_per_pack,line_item_quantity,line_item_value,unit_price,manufacturing_site,weight_kilograms,freight_cost_usd
85510,111-MZ-T30,SO-45899,DN-3829,Mozambique,PMO - US,N/A - From RDC,Truck,2013-06-28,2012-06-07,2014-08-29,2014-10-30,2014-11-13,ARV,Adult,SCMS from RDC,60,9784,63791.68,0.11,"Aurobindo Unit III, India",884.0,684.86
85511,101-CD-T30,SO-48850,DN-3843,"Congo, DRC",PMO - US,N/A - From RDC,Air,2014-05-07,2012-06-07,2014-08-13,2014-09-24,2014-11-06,ARV,Pediatric,SCMS from RDC,60,900,1791.0,0.03,Mylan (formerly Matrix) Nashik,1047.0,5869.655000000001
85518,111-MZ-T30,SO-47053,DN-3864,Mozambique,PMO - US,N/A - From RDC,Truck,2013-10-21,2012-06-07,2014-08-29,2014-10-27,2014-11-07,ARV,Adult,SCMS from RDC,60,15000,97800.0,0.11,"Aurobindo Unit III, India",15659.0,10925.34
85519,111-MZ-T30,SO-47462,DN-3866,Mozambique,PMO - US,N/A - From RDC,Truck,2013-12-09,2012-06-07,2014-08-29,2014-10-27,2014-11-07,ARV,Adult,SCMS from RDC,60,33922,275107.42,0.14,"Cipla, Goa, India",16611.0,11223.8
85520,109-TZ-T30,SO-46702,DN-3868,Tanzania,PMO - US,N/A - From RDC,Truck,2013-10-01,2012-06-07,2014-08-29,2014-09-29,2014-10-06,ARV,Pediatric,SCMS from RDC,60,57859,215814.07,0.06,Mylan (formerly Matrix) Nashik,3090.0,17858.3
85521,111-MZ-T30,SO-47460,DN-3872,Mozambique,PMO - US,N/A - From RDC,Truck,2013-12-09,2012-06-07,2014-09-30,2014-10-27,2014-11-07,ARV,Adult,SCMS from RDC,60,90000,729900.0,0.14,Hetero Unit III Hyderabad IN,1047.0,5869.655000000001
85523,151-NG-T30,SO-48320,DN-3918,Nigeria,PMO - US,N/A - From RDC,Air Charter,2014-02-13,2012-06-07,2014-09-30,2014-09-03,2014-09-05,ARV,Adult,SCMS from RDC,60,15485,104214.05,0.11,Mylan (formerly Matrix) Nashik,1047.0,5869.655000000001
85527,109-TZ-T30,SO-47960,DN-3926,Tanzania,PMO - US,N/A - From RDC,Truck,2013-10-01,2012-06-07,2014-11-03,2014-10-28,2014-10-31,ARV,Adult,SCMS from RDC,60,2469,27726.87,0.19,Mylan (formerly Matrix) Nashik,230.0,1163.2
85528,101-CD-T30,SO-49300,DN-3927,"Congo, DRC",PMO - US,N/A - From RDC,Air,2014-07-14,2012-06-07,2014-10-30,2014-10-27,2014-11-12,ARV,Pediatric,SCMS from RDC,90,710,6624.3,0.1,"Strides, Bangalore, India.",1047.0,5869.655000000001
85529,109-TZ-T30,SO-47650,DN-3933,Tanzania,PMO - US,N/A - From RDC,Truck,2014-01-15,2012-06-07,2014-11-03,2014-10-17,2014-11-07,ARV,Adult,SCMS from RDC,30,17851,212248.39,0.4,"Cipla, Goa, India",2117.0,1663.18
85530,114-UG-T30,SO-48960,DN-3936,Uganda,PMO - US,N/A - From RDC,Air,2014-06-04,2012-06-07,2014-09-30,2014-10-01,2014-10-21,ARV,Adult,SCMS from RDC,30,3273,44250.96,0.45,"Cipla, Patalganga, India",389.0,2786.61
85531,901-NA-T30,SO-49520,DN-3923,Namibia,PMO - US,N/A - From RDC,Air,2014-07-30,2012-06-07,2014-10-08,2014-10-21,2014-10-22,ARV,Adult,SCMS from RDC,30,54147,643807.83,0.4,"Cipla, Goa, India",6425.0,35476.0
85534,109-TZ-T30,SO-47655,DN-3964,Tanzania,PMO - US,N/A - From RDC,Truck,2014-01-15,2012-06-07,2014-11-28,2014-11-19,2014-11-20,ARV,Pediatric,SCMS from RDC,60,34374,73904.1,0.04,"Cipla, Goa, India",2346.0,1462.81
85536,110-ZM-T30,SO-48681,DN-3984,Zambia,PMO - US,N/A - From RDC,Truck,2014-04-24,2012-06-07,2015-01-30,2015-02-19,2015-02-20,ARV,Adult,SCMS from RDC,60,41768,92307.28,0.04,"Strides, Bangalore, India.",2599.0,3427.33
85539,113-ZW-T30,SO-49171,DN-3974,Zimbabwe,PMO - US,N/A - From RDC,Truck,2014-06-13,2012-06-07,2015-01-31,2014-10-30,2014-11-07,ARV,Adult,SCMS from RDC,30,6,0.0,0.0,Cipla Ltd A-42 MIDC Mahar. IN,1047.0,5869.655000000001
85541,114-UG-T30,SO-49020,DN-4007,Uganda,PMO - US,N/A - From RDC,Truck,2014-06-04,2012-06-07,2014-10-31,2014-11-25,2014-11-28,ARV,Adult,SCMS from RDC,30,5403,73048.56,0.45,Mylan (formerly Matrix) Nashik,490.0,2016.1
85542,104-CI-T30,SO-47912,DN-4024,Côte d'Ivoire,PMO - US,N/A - From RDC,Truck,2014-01-29,2012-06-07,2015-01-30,2015-02-11,2015-02-16,ARV,Adult,SCMS from RDC,60,50700,391404.0,0.13,Mylan (formerly Matrix) Nashik,1047.0,5869.655000000001
85547,104-CI-T30,SO-47900,DN-4039,Côte d'Ivoire,PMO - US,N/A - From RDC,Truck,2014-01-29,2012-06-07,2015-01-30,2015-02-11,2015-02-16,ARV,Adult,SCMS from RDC,30,2000,26980.0,0.45,Mylan (formerly Matrix) Nashik,1047.0,5869.655000000001
85551,110-ZM-T30,SO-48680,DN-4082,Zambia,PMO - US,N/A - From RDC,Truck,2014-04-24,2012-06-07,2015-01-30,2015-02-19,2015-02-20,ARV,Adult,SCMS from RDC,60,1846,12183.6,0.11,Hetero Unit III Hyderabad IN,1047.0,5869.655000000001
85554,151-NG-T30,SO-48893,DN-4098,Nigeria,PMO - US,N/A - From RDC,Air Charter,2014-04-25,2012-06-07,2015-01-30,2015-01-14,2015-01-20,ARV,Adult,SCMS from RDC,60,24000,185280.0,0.13,Hetero Unit III Hyderabad IN,1047.0,5869.655000000001
85555,102-ZW-T30,SO-48490,DN-4113,Zimbabwe,PMO - US,N/A - From RDC,Truck,2014-04-01,2012-06-07,2015-02-16,2015-02-04,2015-02-16,ARV,Adult,SCMS from RDC,30,19913,268626.37,0.45,"Cipla, Patalganga, India",1828.0,1955.17
85556,103-ZW-T30,SO-48460,DN-4114,Zimbabwe,PMO - US,N/A - From RDC,Truck,2014-04-02,2012-06-07,2015-02-16,2015-02-04,2015-02-16,ARV,Pediatric,SCMS from RDC,90,3969,17542.98,0.05,"Micro labs, Verna, Goa, India",561.0,251.42
85557,113-ZW-T30,SO-49170,DN-4112,Zimbabwe,PMO - US,N/A - From RDC,Truck,2014-06-13,2012-06-07,2015-03-06,2015-02-06,2015-02-06,ARV,Adult,SCMS from RDC,30,150468,1468567.68,0.33,Mylan (formerly Matrix) Nashik,1047.0,5869.655000000001
85558,113-ZW-T30,SO-49170,DN-4112,Zimbabwe,PMO - US,N/A - From RDC,Truck,2014-06-13,2012-06-07,2015-03-06,2015-02-06,2015-02-06,ARV,Adult,SCMS from RDC,30,74346,725616.96,0.33,Hetero Unit III Hyderabad IN,1047.0,5869.655000000001
85559,103-ZW-T30,SO-48432,DN-4116,Zimbabwe,PMO - US,N/A - From RDC,Truck,2014-04-02,2012-06-07,2015-02-16,2015-02-04,2015-02-16,ARV,Pediatric,SCMS from RDC,60,203160,761850.0,0.06,Mylan (formerly Matrix) Nashik,11353.0,12654.78
85560,110-ZM-T30,SO-49282,DN-4117,Zambia,PMO - US,N/A - From RDC,Truck,2014-07-11,2012-06-07,2015-02-27,2015-02-19,2015-02-20,ARV,Adult,SCMS from RDC,60,38151,83169.18,0.04,"Strides, Bangalore, India.",1047.0,5869.655000000001
85561,151-NG-T30,SO-48890,DN-4121,Nigeria,PMO - US,N/A - From RDC,Air Charter,2014-04-25,2012-06-07,2015-03-02,2015-02-05,2015-02-10,ARV,Adult,SCMS from RDC,60,213502,1648235.44,0.13,"Cipla, Goa, India",31271.0,62693.85
85562,151-NG-T30,SO-50881,DN-4134,Nigeria,PMO - US,N/A - From RDC,Air Charter,2014-04-25,2012-06-07,2015-03-02,2015-02-05,2015-02-10,ARV,Adult,SCMS from RDC,60,14648,80564.0,0.09,"Cipla, Goa, India",1023.0,2244.2
85564,111-MZ-T30,SO-50131,DN-4152,Mozambique,PMO - US,N/A - From RDC,Truck,2014-10-17,2012-06-07,2015-03-31,2015-04-10,2015-04-20,ARV,Adult,SCMS from RDC,60,1400,3052.0,0.04,"Strides, Bangalore, India.",4355.0,3644.18
85565,113-ZW-T30,SO-49160,DN-4155,Zimbabwe,PMO - US,N/A - From RDC,Truck,2014-06-13,2012-06-07,2015-03-31,2015-03-17,2015-03-18,ARV,Adult,SCMS from RDC,30,336000,3225600.0,0.32,Mylan (formerly Matrix) Nashik,37955.0,42077.59
85566,102-BI-T30,SO-50270,DN-4144,Burundi,PMO - US,N/A - From RDC,Air,2014-11-19,2012-06-07,2015-02-27,2015-02-28,2015-03-05,ARV,Pediatric,SCMS from RDC,60,325,646.75,0.03,"Cipla, Goa, India",1047.0,5869.655000000001
